#Field Tile Seq RA(hour) Dec(deg) Filter mean_Mag med_Mag mean_(B-R) med_(B-R)
#1 3444 614 5.02878 -69.171 B -5.912 -5.962 -0.335 -0.348
#MJD Mag Err
49653.393981 -5.975 0.039
49654.359919 -5.947 0.058
49660.436725 -5.96 0.03
49664.478218 -5.906 0.031
49665.333646 -5.78 0.03
49666.287361 -5.8 0.037
49667.415822 -5.981 0.031
49670.306794 -5.972 0.044
49671.266678 -5.916 0.079
49672.243854 -5.977 0.04
49673.356007 -6.034 0.046
49673.481690 -5.935 0.026
49674.490833 -5.799 0.085
49676.306979 -6.011 0.055
49681.291910 -5.843 0.021
49682.310359 -5.951 0.03
49687.295926 -6.095 0.092
49688.308090 -5.923 0.034
49689.372025 -5.995 0.028
49690.299375 -6.003 0.013
49691.344016 -5.953 0.013
49692.365949 -5.759 0.014
49693.317627 -5.781 0.017
49695.347037 -5.901 0.043
49696.342384 -5.97 0.024
49697.362593 -5.993 0.013
49698.467141 -5.985 0.026
49699.478530 -6.421 0.076
49700.309792 -6.142 0.07
49702.322581 -6.097 0.04
49703.392674 -6.013 0.043
49704.317535 -6.02 0.056
49705.339502 -6.124 0.09
49705.381458 -5.905 0.052
49715.276400 -5.944 0.055
49717.429815 -6.009 0.021
49723.303125 -5.762 0.033
49727.280833 -5.958 0.03
49729.475058 -6.024 0.019
49730.329653 -6.053 0.029
49732.508889 -5.895 0.036
49737.520671 -5.864 0.05
49751.309734 -5.98 0.018
49752.434282 -5.593 0.052
49752.438715 -5.565 0.052
49754.320255 -5.656 0.054
49755.426343 -5.992 0.015
49759.362188 -6.009 0.026
49760.535625 -5.972 0.043
49762.349618 -5.995 0.043
49764.477836 -5.687 0.122
49767.386921 -5.472 0.094
49784.294896 -5.652 0.035
49786.473310 -6.003 0.063
49788.369051 -6.155 0.057
49790.274769 -5.929 0.037
49791.472581 -5.749 0.158
49795.273681 -6.0 0.038
49797.287639 -5.866 0.025
49799.260035 -5.567 0.032
49800.352014 -5.988 0.039
49801.293773 -5.981 0.034
49802.436806 -6.001 0.031
49804.255150 -6.112 0.038
49806.268449 -6.034 0.021
49808.265012 -6.044 0.022
49809.331019 -6.055 0.038
49809.367338 -5.988 0.026
49810.328356 -5.988 0.022
49819.314769 -5.863 0.076
49824.290324 -6.013 0.071
49826.328391 -5.947 0.046
49828.382072 -5.656 0.035
49831.292546 -5.961 0.049
49833.336343 -5.83 0.114
49835.324109 -5.992 0.021
49842.328206 -5.739 0.08
49851.351447 -6.054 0.115
49856.293715 -5.834 0.046
49858.287211 -5.683 0.052
49862.251817 -6.016 0.064
49864.260347 -5.986 0.082
49866.208947 -6.023 0.022
49868.303241 -5.93 0.043
49872.268044 -5.855 0.029
49874.236389 -5.579 0.163
49875.198843 -5.496 0.077
49879.237558 -5.656 0.298
49880.200972 -6.138 0.133
49880.211192 -6.023 0.247
49883.671562 -5.628 0.074
49885.215278 -5.948 0.064
49887.203692 -5.969 0.039
49889.193889 -5.66 0.083
49890.206632 -5.626 0.035
49891.201134 -5.802 0.025
49895.186968 -5.964 0.038
49901.667627 -5.965 0.021
49902.200764 -5.997 0.082
49905.641829 -6.029 0.03
49907.633657 -5.875 0.05
49912.645428 -5.625 0.125
49916.661736 -5.948 0.062
49917.610382 -6.002 0.049
49921.552639 -5.873 0.128
49927.471157 -6.033 0.056
49929.560000 -5.645 0.072
49931.629039 -5.925 0.055
49933.468576 -5.984 0.027
49935.583218 -5.934 0.053
49936.571076 -6.018 0.043
49937.586053 -6.067 0.078
49938.456979 -5.978 0.103
49939.483796 -6.05 0.047
49940.621991 -5.98 0.041
49941.465301 -6.027 0.047
49942.537986 -5.867 0.023
49943.530891 -5.758 0.035
49944.553102 -5.605 0.055
49945.536076 -5.897 0.109
49946.622500 -5.897 0.057
49948.572234 -5.923 0.064
49949.429433 -5.968 0.039
49951.449595 -5.939 0.076
49952.529676 -6.01 0.022
49953.446400 -5.984 0.036
49954.534132 -5.927 0.068
49955.621678 -5.932 0.069
49957.399525 -5.984 0.026
49958.651366 -5.858 0.113
49961.412928 -5.686 0.048
49963.594375 -6.069 0.06
49965.458472 -6.122 0.124
49966.511157 -5.966 0.032
49967.406146 -6.025 0.053
49969.372153 -5.858 0.071
49970.369016 -5.904 0.067
49971.638762 -5.62 0.042
49972.382523 -6.038 0.031
49973.617662 -5.507 0.1
49974.585220 -5.821 0.027
49980.410174 -6.003 0.06
49982.345081 -5.995 0.041
49986.396597 -6.006 0.029
49987.355741 -5.963 0.019
49994.384502 -5.971 0.035
49994.591169 -5.946 0.035
49995.560822 -6.048 0.038
49996.418924 -5.975 0.036
49997.475694 -6.042 0.158
49998.499271 -6.048 0.032
50003.433958 -5.911 0.07
50005.414317 -5.607 0.03
50006.400417 -5.68 0.029
50007.482419 -5.893 0.045
50013.367569 -6.01 0.033
50015.336262 -6.564 0.373
50019.431563 -5.595 0.044
50021.427106 -5.927 0.041
50022.459444 -5.962 0.051
50029.303681 -5.985 0.094
50031.323218 -6.019 0.667
50031.341771 -5.998 0.092
50033.305185 -6.007 0.027
50038.379792 -5.984 0.017
50038.497442 -6.007 0.023
50045.364687 -5.98 0.031
50046.350023 -5.994 0.046
50047.425162 -5.938 0.051
50048.404525 -5.803 0.033
50054.307326 -5.943 0.039
50057.329583 -5.877 0.089
50058.341435 -5.954 0.037
50061.340069 -5.972 0.037
50063.310532 -5.948 0.036
50066.343727 -5.767 0.019
50071.280058 -5.981 0.015
50072.342384 -6.083 0.039
50074.310822 -6.089 0.026
